ts_micro,frame,wheel
1562623918908,1,173
1562623918981,2,189
1562623919023,3,191
1562623919056,4,196
1562623919078,5,195
1562623919097,6,183
1562623919116,7,178
1562623919128,8,176
1562623919147,9,169
1562623919157,10,152
1562623919168,11,145
1562623919183,12,143
1562623919208,13,146
1562623919233,14,145
1562623919258,15,141
1562623919283,16,131
1562623919308,17,125
1562623919333,18,125
1562623919359,19,125
1562623919383,20,127
1562623919408,21,126
1562623919433,22,126
1562623919458,23,125
1562623919483,24,125
1562623919508,25,124
1562623919533,26,126
1562623919558,27,125
1562623919583,28,125
1562623919608,29,126
1562623919633,30,125
1562623919661,31,127
1562623919683,32,127
1562623919710,33,127
1562623919754,34,124
1562623919804,35,117
1562623919852,36,117
1562623919872,37,120
1562623919897,38,125
1562623919947,39,125
1562623919979,40,125
1562623920031,41,125
1562623920063,42,127
1562623920108,43,130
1562623920140,44,133
1562623920173,45,131
1562623920221,46,130
1562623920252,47,128
1562623920299,48,129
1562623920333,49,130
1562623920375,50,135
1562623920410,51,136
1562623920443,52,141
1562623920493,53,149
1562623920523,54,157
1562623920587,55,164
1562623920623,56,166
1562623920668,57,173
1562623920685,58,176
1562623920712,59,180
1562623920768,60,187
1562623920800,61,185
1562623920839,62,169
1562623920875,63,153
1562623920924,64,153
1562623920958,65,155
1562623921002,66,169
1562623921036,67,186
1562623921068,68,190
1562623921115,69,193
1562623921147,70,193
1562623921196,71,196
1562623921228,72,201
1562623921274,73,199
1562623921304,74,177
1562623921356,75,119
1562623921401,76,125
1562623921437,77,126
1562623921472,78,128
1562623921502,79,127
1562623921546,80,125
1562623921579,81,125
1562623921629,82,125
1562623921661,83,125
1562623921694,84,125
1562623921740,85,127
1562623921773,86,142
1562623921820,87,159
1562623921855,88,176
1562623921906,89,190
1562623921940,90,199
1562623921966,91,200
1562623922010,92,195
1562623922042,93,194
1562623922091,94,182
1562623922128,95,120
1562623922172,96,123
1562623922219,97,125
1562623922247,98,125
1562623922289,99,126
1562623922315,100,127
1562623922367,101,127
1562623922399,102,127
1562623922443,103,136
1562623922474,104,135
1562623922508,105,127
1562623922558,106,136
1562623922589,107,142
1562623922632,108,145
1562623922670,109,149
1562623922712,110,157
1562623922748,111,167
1562623922806,112,177
1562623922835,113,186
1562623922868,114,195
1562623922911,115,189
1562623922942,116,183
1562623922999,117,184
1562623923047,118,181
1562623923087,119,160
1562623923106,120,125
1562623923138,121,125
1562623923176,122,127
1562623923213,123,127
1562623923264,124,126
1562623923297,125,125
1562623923340,126,125
1562623923374,127,125
1562623923407,128,125
1562623923451,129,125
1562623923488,130,125
1562623923539,131,126
1562623923568,132,136
1562623923614,133,150
1562623923643,134,161
1562623923693,135,171
1562623923724,136,178
1562623923753,137,181
1562623923823,138,187
1562623923874,139,187
1562623923903,140,189
1562623923920,141,187
1562623923963,142,153
1562623924001,143,125
1562623924032,144,125
1562623924078,145,127
1562623924107,146,126
1562623924156,147,143
1562623924192,148,158
1562623924243,149,185
1562623924273,150,203
1562623924310,151,204
1562623924352,152,201
1562623924385,153,103
1562623924430,154,122
1562623924460,155,118
1562623924508,156,113
1562623924542,157,129
1562623924572,158,127
1562623924632,159,126
1562623924667,160,133
1562623924706,161,130
1562623924733,162,129
1562623924781,163,138
1562623924813,164,142
1562623924860,165,145
1562623924892,166,144
1562623924926,167,144
1562623924969,168,144
1562623925009,169,145
1562623925052,170,145
1562623925088,171,148
1562623925133,172,153
1562623925165,173,156
1562623925198,174,156
1562623925248,175,159
1562623925279,176,162
1562623925331,177,166
1562623925364,178,168
1562623925408,179,173
1562623925452,180,170
1562623925488,181,172
1562623925518,182,177
1562623925550,183,185
1562623925597,184,191
1562623925631,185,193
1562623925679,186,194
1562623925710,187,193
1562623925743,188,195
1562623925789,189,194
1562623925822,190,195
1562623925869,191,194
1562623925903,192,189
1562623925950,193,184
1562623925978,194,178
1562623926034,195,175
1562623926064,196,172
1562623926094,197,167
1562623926138,198,158
1562623926179,199,147
1562623926239,200,142
1562623926271,201,141
1562623926321,202,133
1562623926338,203,127
1562623926367,204,129
1562623926415,205,125
1562623926444,206,124
1562623926497,207,122
1562623926529,208,117
1562623926573,209,116
1562623926610,210,120
1562623926638,211,120
1562623926686,212,114
1562623926719,213,115
1562623926770,214,112
1562623926802,215,107
1562623926846,216,105
1562623926880,217,101
1562623926912,218,101
1562623926959,219,102
1562623926993,220,103
1562623927038,221,109
1562623927072,222,117
1562623927119,223,125
1562623927151,224,131
1562623927181,225,139
1562623927233,226,147
1562623927266,227,161
1562623927310,228,167
1562623927342,229,174
1562623927388,230,181
1562623927424,231,187
1562623927472,232,194
1562623927506,233,202
1562623927535,234,203
1562623927582,235,206
1562623927615,236,205
1562623927663,237,203
1562623927696,238,186
1562623927754,239,136
1562623927793,240,123
1562623927834,241,126
1562623927851,242,125
1562623927881,243,125
1562623927935,244,125
1562623927967,245,129
1562623928013,246,142
1562623928046,247,159
1562623928096,248,169
1562623928128,249,183
1562623928161,250,187
1562623928206,251,191
1562623928239,252,195
1562623928286,253,182
1562623928316,254,174
1562623928370,255,176
1562623928403,256,177
1562623928433,257,178
1562623928478,258,162
1562623928510,259,127
1562623928575,260,126
1562623928609,261,125
1562623928649,262,125
1562623928675,263,125
1562623928709,264,125
1562623928751,265,125
1562623928780,266,117
1562623928832,267,125
1562623928865,268,125
1562623928912,269,125
1562623928943,270,127
1562623928975,271,138
1562623929022,272,151
1562623929054,273,167
1562623929108,274,181
1562623929141,275,183
1562623929184,276,190
1562623929215,277,201
1562623929258,278,200
1562623929295,279,199
1562623929326,280,201
1562623929387,281,196
1562623929424,282,137
1562623929461,283,118
1562623929487,284,126
1562623929521,285,124
1562623929567,286,124
1562623929599,287,125
1562623929647,288,125
1562623929680,289,125
1562623929724,290,125
1562623929759,291,125
1562623929808,292,127
1562623929842,293,127
1562623929875,294,126
1562623929921,295,128
1562623929960,296,141
1562623930002,297,153
1562623930036,298,161
1562623930084,299,164
1562623930115,300,165
1562623930149,301,164
1562623930205,302,166
1562623930244,303,166
1562623930279,304,146
1562623930313,305,143
1562623930352,306,153
1562623930385,307,160
1562623930432,308,177
1562623930463,309,199
1562623930496,310,195
1562623930544,311,203
1562623930576,312,203
1562623930624,313,197
1562623930652,314,190
1562623930704,315,185
1562623930743,316,129
1562623930774,317,130
1562623930821,318,127
1562623930852,319,125
1562623930898,320,125
1562623930929,321,125
1562623930989,322,125
1562623931037,323,125
1562623931070,324,125
1562623931087,325,125
1562623931119,326,127
1562623931169,327,129
1562623931203,328,130
1562623931248,329,130
1562623931282,330,139
1562623931330,331,147
1562623931361,332,151
1562623931396,333,162
1562623931443,334,167
1562623931478,335,163
1562623931520,336,163
1562623931555,337,166
1562623931599,338,165
1562623931633,339,163
1562623931666,340,161
1562623931714,341,157
1562623931747,342,160
1562623931808,343,160
1562623931844,344,165
1562623931881,345,179
1562623931918,346,178
1562623931942,347,180
1562623931985,348,186
1562623932017,349,180
1562623932060,350,164
1562623932096,351,161
1562623932144,352,156
1562623932177,353,166
1562623932210,354,176
1562623932258,355,171
1562623932290,356,178
1562623932336,357,180
1562623932371,358,177
1562623932418,359,178
1562623932450,360,178
1562623932483,361,179
1562623932526,362,178
1562623932561,363,168
1562623932628,364,133
1562623932664,365,125
1562623932693,366,125
1562623932722,367,125
1562623932767,368,125
1562623932804,369,125
1562623932834,370,125
1562623932882,371,127
1562623932914,372,128
1562623932962,373,133
1562623932992,374,136
1562623933041,375,145
1562623933074,376,151
1562623933106,377,152
1562623933153,378,160
1562623933187,379,162
1562623933234,380,165
1562623933265,381,174
1562623933313,382,173
1562623933348,383,170
1562623933378,384,169
1562623933438,385,168
1562623933466,386,173
1562623933502,387,178
1562623933537,388,183
1562623933587,389,189
1562623933619,390,191
1562623933665,391,195
1562623933697,392,196
1562623933730,393,194
1562623933777,394,195
1562623933808,395,196
1562623933869,396,193
1562623933893,397,186
1562623933937,398,183
1562623933971,399,179
1562623934004,400,178
1562623934051,401,178
1562623934082,402,177
1562623934128,403,175
1562623934170,404,174
1562623934221,405,173
1562623934263,406,168
1562623934300,407,159
1562623934324,408,149
1562623934351,409,145
1562623934399,410,143
1562623934434,411,141
1562623934482,412,141
1562623934515,413,132
1562623934548,414,129
1562623934596,415,128
1562623934631,416,125
1562623934675,417,121
1562623934707,418,105
1562623934755,419,100
1562623934789,420,103
1562623934837,421,103
1562623934863,422,104
1562623934901,423,94
1562623934947,424,91
1562623934980,425,101
1562623935045,426,113
1562623935081,427,125
1562623935121,428,127
1562623935139,429,128
1562623935170,430,137
1562623935220,431,139
1562623935253,432,151
1562623935302,433,155
1562623935331,434,153
1562623935379,435,159
1562623935409,436,163
1562623935460,437,169
1562623935494,438,172
1562623935527,439,180
1562623935571,440,181
1562623935605,441,192
1562623935650,442,200
1562623935682,443,203
1562623935734,444,203
1562623935766,445,202
1562623935796,446,187
1562623935868,447,179
1562623935913,448,174
1562623935931,449,153
1562623935957,450,127
1562623936002,451,127
1562623936040,452,127
1562623936073,453,125
1562623936116,454,125
1562623936146,455,127
1562623936196,456,126
1562623936232,457,127
1562623936272,458,125
1562623936309,459,125
1562623936342,460,127
1562623936392,461,128
1562623936419,462,140
1562623936466,463,146
1562623936500,464,145
1562623936545,465,148
1562623936577,466,151
1562623936611,467,156
1562623936671,468,164
1562623936704,469,167
1562623936735,470,176
1562623936771,471,187
1562623936820,472,189
1562623936851,473,191
1562623936884,474,187
1562623936938,475,184
1562623936966,476,180
1562623937012,477,177
1562623937044,478,175
1562623937101,479,173
1562623937131,480,174
1562623937167,481,171
1562623937203,482,171
1562623937239,483,170
1562623937286,484,171
1562623937321,485,180
1562623937368,486,171
1562623937399,487,167
1562623937460,488,167
1562623937505,489,156
1562623937537,490,152
1562623937558,491,148
1562623937583,492,137
1562623937637,493,138
1562623937667,494,137
1562623937716,495,137
1562623937749,496,136
1562623937782,497,135
1562623937829,498,134
1562623937862,499,131
1562623937910,500,128
1562623937939,501,127
1562623937986,502,132
1562623938026,503,131
1562623938069,504,129
